Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2014.00,75000.00,Diesel,Manual,First,24.4 ,1120,71,5.00,3850.00
2012.00,75800.00,Diesel,Manual,Second,16.55 ,2498,105,6.00,5500.00
2015.00,13648.00,Diesel,Automatic,First,17.11 ,1968,174.33,5.00,21430.00
2014.00,52000.00,Diesel,Manual,First,22.9 ,1248,74,5.00,4250.00
2014.00,53000.00,Diesel,Manual,First,17.8 ,1248,75,5.00,3300.00
2013.00,65650.00,Diesel,Manual,First,28.4 ,1248,74,5.00,3850.00
2015.00,54000.00,Petrol,Manual,Third,18.9 ,1197,82,5.00,3600.00
2015.00,39000.00,Petrol,Manual,First,15.04 ,1598,103.2,5.00,3990.00
2017.00,16542.00,Petrol,Manual,First,25.17 ,799,53.3,5.00,3300.00
2010.00,32000.00,Petrol,Manual,First,20.36 ,1197,78.9,5.00,2070.00
2010.00,121812.00,Diesel,Automatic,First,13.29 ,1995,147.6,5.00,7750.00
2010.00,39300.00,Petrol,Manual,First,18.2 ,998,67.1,5.00,2250.00
2017.00,22000.00,Diesel,Manual,First,13.68 ,2393,147.8,8.00,16500.00
2010.00,72000.00,Diesel,Manual,First,20.0 ,1399,68,5.00,2750.00
2015.00,58000.00,Petrol,Automatic,First,11.74 ,1796,186,5.00,26700.00
2011.00,65000.00,Diesel,Manual,Second,15.8 ,2148,170,5.00,10000.00
2016.00,178000.00,Diesel,Manual,First,25.0 ,1396,69,5.00,2500.00
2012.00,65664.00,Diesel,Automatic,First,16.55 ,1968,140,5.00,13500.00
2007.00,63000.00,Petrol,Automatic,Second,16.4 ,1497,78,5.00,1850.00
2019.00,15369.00,Diesel,Automatic,First,0.0 ,1950,194,5.00,35670.00
2016.00,63000.00,Diesel,Manual,First,24.52 ,1248,88.5,7.00,8150.00
2018.00,13000.00,Diesel,Manual,First,22.1 ,1396,88.7,5.00,10500.00
2008.00,73000.00,Petrol,Automatic,First,8.5 ,4806,500,5.00,14500.00
2015.00,55729.00,Diesel,Manual,First,15.1 ,2179,140,7.00,9650.00
2012.00,45178.00,Petrol,Automatic,First,16.95 ,1197,78.9,5.00,3480.00
2015.00,56066.00,Diesel,Manual,First,19.64 ,1461,108.5,5.00,6920.00
2016.00,37300.00,Petrol,Automatic,Second,16.5 ,1198,86.8,5.00,6460.00
2014.00,56000.00,Diesel,Automatic,Second,18.53 ,1968,187.74,5.00,29500.00
2008.00,111111.00,Diesel,Manual,First,17.8 ,1399,null,5.00,2000.00
2006.00,230000.00,Petrol,Manual,Third,12.4 ,1998,132,8.00,4500.00
2012.00,104000.00,Diesel,Manual,First,12.8 ,2494,102,7.00,11750.00
2005.00,87591.00,Petrol,Manual,First,0.0 ,1086,null,5.00,1300.00
2012.00,95100.00,Diesel,Manual,First,22.9 ,1248,74,5.00,3750.00
2017.00,70000.00,Petrol,Manual,First,17.57 ,1193,88.7,5.00,4500.00
2016.00,54944.00,Petrol,Manual,First,18.0 ,1198,86.7,5.00,4820.00
2012.00,70337.00,Diesel,Manual,First,20.0 ,1399,68,5.00,2800.00
2013.00,99638.00,Diesel,Manual,First,23.2 ,1248,73.94,5.00,3110.00
2009.00,52000.00,Petrol,Manual,First,17.8 ,1497,117.3,5.00,3250.00
2011.00,75000.00,Diesel,Automatic,Second,16.73 ,1995,218,5.00,13900.00
2009.00,95980.00,Petrol,Manual,First,20.36 ,1197,78.9,5.00,2250.00
2016.00,16000.00,Petrol,Manual,First,18.9 ,1197,82,5.00,5750.00
2007.00,73745.00,Petrol,Manual,First,17.0 ,1086,null,5.00,2100.00
2016.00,18949.00,Petrol,Manual,First,17.8 ,1198,86.7,5.00,5000.00
2014.00,107000.00,Diesel,Manual,First,13.0 ,2982,168.5,7.00,16500.00
2018.00,48367.00,Diesel,Automatic,First,17.68 ,1968,174.33,5.00,39580.00
2013.00,57000.00,Diesel,Manual,First,22.7 ,1498,89.84,5.00,5500.00
2014.00,58000.00,Diesel,Manual,First,15.1 ,2179,140,7.00,8100.00
2015.00,30000.00,Diesel,Manual,First,25.8 ,1498,98.6,5.00,3500.00
2013.00,34212.00,Diesel,Manual,First,22.07 ,1199,73.9,5.00,2790.00
2010.00,70002.00,Diesel,Manual,First,16.2 ,1493,110,5.00,3450.00
2016.00,62000.00,Petrol,Manual,First,18.9 ,998,67.1,5.00,4450.00
2010.00,62001.00,Petrol,Manual,First,15.26 ,1598,103.5,5.00,2650.00
2011.00,78958.00,Diesel,Manual,Second,23.0 ,1396,90,5.00,3800.00
2014.00,30180.00,Petrol,Manual,First,18.5 ,1197,82.85,5.00,4650.00
2017.00,32851.00,Petrol,Manual,First,19.83 ,1198,67,7.00,3950.00
2010.00,30000.00,Diesel,Automatic,First,14.94 ,2967,241.4,5.00,9800.00
2009.00,66000.00,Petrol,Manual,Second,17.0 ,1197,80,5.00,2700.00
2010.00,93850.00,Petrol,Manual,First,14.0 ,796,35,5.00,2410.00
2014.00,53000.00,Petrol,Manual,First,17.71 ,1197,78.9,5.00,3900.00
2011.00,78000.00,Diesel,Automatic,Second,14.74 ,2993,270.9,5.00,24000.00
2012.00,65000.00,Diesel,Manual,Second,16.0 ,2179,140,7.00,5750.00
2014.00,40000.00,Diesel,Automatic,First,22.32 ,1582,126.32,5.00,5250.00
2017.00,30000.00,Diesel,Automatic,First,11.36 ,2755,171.5,7.00,19250.00
2017.00,38053.00,Petrol,Manual,First,15.1 ,1196,73,5.00,3910.00
2014.00,25500.00,Petrol,Manual,First,25.4 ,624,37.5,4.00,2150.00
2015.00,56087.00,Diesel,Automatic,First,22.69 ,1995,190,5.00,20750.00
2010.00,71088.00,Petrol,Manual,First,13.5 ,1799,130,5.00,3350.00
2014.00,55000.00,Diesel,Manual,First,12.99 ,2494,100.6,7.00,11110.00
2014.00,32700.00,Diesel,Automatic,First,23.3 ,1984,150,5.00,20000.00
2016.00,39882.00,Petrol,Automatic,First,19.15 ,1198,75.94,5.00,6550.00
2009.00,128000.00,Petrol,Automatic,First,10.8 ,2497,215,5.00,7000.00
2016.00,55000.00,Diesel,Manual,First,24.3 ,1248,88.5,5.00,7500.00
2005.00,102000.00,Petrol,Manual,Second,17.0 ,1086,null,5.00,850.00
2014.00,53753.00,Diesel,Automatic,Second,15.0 ,2143,107.3,5.00,16750.00
2018.00,10250.00,Diesel,Manual,First,22.0 ,1582,126.2,5.00,10950.00
2011.00,43874.00,Petrol,Manual,First,18.9 ,998,67.1,5.00,2450.00
2017.00,32684.00,Petrol,Automatic,First,21.9 ,624,37.48,4.00,3230.00
2014.00,42000.00,Diesel,Manual,First,12.05 ,2179,120,8.00,7750.00
2009.00,28352.00,Petrol,Automatic,First,11.7 ,1796,178,5.00,9350.00
2013.00,89900.00,CNG,Manual,First,26.6,998,58.16,5.00,3250.00
2007.00,47700.00,Petrol,Manual,Second,10.8 ,2354,152,5.00,5250.00
2015.00,55000.00,Diesel,Automatic,First,21.21 ,1498,103.2,5.00,7250.00
2017.00,44285.00,Petrol,Manual,First,20.73 ,1373,91.1,5.00,7470.00
2016.00,54000.00,Diesel,Automatic,First,16.0 ,2179,140,7.00,13250.00
2016.00,30232.00,Petrol,Manual,First,21.1 ,1197,85.80,5.00,5810.00
2014.00,88500.00,Petrol,Manual,First,24.07 ,998,67.1,5.00,2600.00
2017.00,13372.00,Petrol,Automatic,First,19.0 ,2996,362.07,2.00,54000.00
2019.00,12645.00,Petrol,Automatic,First,17.0 ,1591,121.3,5.00,11500.00
2010.00,94385.00,Petrol,Manual,Second,19.7 ,796,46.3,5.00,1600.00
2015.00,31821.00,Diesel,Automatic,First,20.58 ,1995,143,5.00,17220.00
2015.00,12000.00,Petrol,Automatic,First,19.0 ,1199,88.7,5.00,6000.00
2012.00,88578.00,Petrol,Manual,First,13.5 ,1799,130,5.00,3950.00
2014.00,44965.00,Diesel,Automatic,First,19.27 ,2143,170,5.00,17950.00
2014.00,45044.00,Diesel,Manual,First,25.8 ,1498,98.6,5.00,3700.00
2016.00,34204.00,Petrol,Manual,First,22.0 ,1197,81.80,5.00,5430.00
2008.00,80759.00,Petrol,Manual,Third,17.0 ,1086,null,5.00,1670.00
2012.00,91235.00,Diesel,Manual,First,11.5 ,2982,171,7.00,13490.00
2014.00,38800.00,Petrol,Manual,First,18.6 ,1199,76.8,5.00,2850.00
2013.00,83000.00,Diesel,Manual,First,21.14 ,1498,103.52,5.00,4750.00
2018.00,41283.00,Petrol,Manual,First,20.73 ,1373,91.1,5.00,9900.00
2013.00,23000.00,Petrol,Automatic,First,11.05 ,2894,444,4.00,37000.00
2014.00,48000.00,Diesel,Automatic,First,21.76 ,1995,190,5.00,26500.00
2015.00,48214.00,Diesel,Automatic,First,17.11 ,1968,174.33,5.00,23320.00
2016.00,35000.00,Diesel,Manual,First,22.9 ,1248,74,5.00,6250.00
2010.00,35277.00,Petrol,Automatic,First,7.81 ,5461,362.9,5.00,30000.00
2016.00,54620.00,Diesel,Automatic,First,21.66 ,1498,103.52,5.00,9860.00
2012.00,136997.00,Diesel,Automatic,First,17.2 ,1968,138.1,5.00,8500.00
2019.00,14322.00,Petrol,Manual,First,21.1 ,814,55.2,5.00,4230.00
2012.00,65634.00,Diesel,Manual,First,22.07 ,1199,73.9,5.00,3500.00
2016.00,6000.00,Petrol,Manual,First,20.63 ,1198,67.06,5.00,2500.00
2013.00,33280.00,Petrol,Manual,First,19.4 ,1198,86.8,5.00,2390.00
2013.00,29000.00,Petrol,Automatic,First,14.8 ,1595,120.7,5.00,11250.00
2015.00,42831.00,Diesel,Manual,First,26.0 ,1498,98.6,5.00,7110.00
2016.00,90000.00,Diesel,Manual,First,12.99 ,2494,100.6,7.00,10900.00
2017.00,24005.00,Petrol,Manual,First,20.4 ,1197,81.80,5.00,6200.00
2012.00,32792.00,Diesel,Manual,First,15.1 ,2179,140,7.00,7900.00
2014.00,147898.00,Diesel,Manual,First,22.7 ,1498,89.84,5.00,4420.00
2012.00,131765.00,Diesel,Manual,First,13.0 ,2982,168.5,7.00,13500.00
2013.00,65000.00,Diesel,Automatic,First,21.5 ,1498,108.5,5.00,6250.00
2010.00,66123.00,Diesel,Manual,Second,20.0 ,1399,68,5.00,2100.00
2015.00,41000.00,Diesel,Automatic,First,15.3 ,2993,258,5.00,45000.00
2017.00,23550.00,Diesel,Automatic,First,19.27 ,2143,167.62,5.00,33660.00
2012.00,45000.00,Petrol,Manual,Second,19.4 ,1198,86.8,5.00,3650.00
2013.00,60000.00,Petrol,Manual,First,20.36 ,1197,78.9,5.00,2750.00
2016.00,44414.00,Diesel,Automatic,First,17.9 ,2143,170,5.00,42500.00
2019.00,1000.00,Petrol,Manual,First,18.9 ,1197,81.86,5.00,6500.00
2012.00,62500.00,Diesel,Automatic,Second,17.68 ,1968,174.33,5.00,19000.00
2013.00,21000.00,Petrol,Automatic,Second,14.4 ,1598,103.6,5.00,4450.00
2017.00,8525.00,Diesel,Automatic,Second,16.6 ,1998,112,5.00,23000.00
2014.00,29000.00,Diesel,Manual,First,22.54 ,1396,88.73,5.00,8350.00
2014.00,40000.00,Diesel,Automatic,First,17.68 ,1968,174.33,5.00,22950.00
2012.00,88000.00,Diesel,Manual,First,25.44 ,936,57.6,5.00,1500.00
2012.00,53537.00,Petrol,Automatic,First,13.7 ,1798,157.75,5.00,6890.00
2006.00,216000.00,Diesel,Manual,Second,17.8 ,1399,68,5.00,1450.00
2014.00,51000.00,Diesel,Automatic,First,22.48 ,1995,190,5.00,33500.00
2007.00,118500.00,Petrol,Manual,First,12.9 ,1598,102.5,5.00,1250.00
2012.00,63000.00,Diesel,Manual,First,22.07 ,1199,73.9,5.00,4200.00
2015.00,25000.00,Diesel,Manual,First,19.98 ,1461,108.5,8.00,6750.00
2014.00,37382.00,Diesel,Automatic,First,13.0 ,2143,201.1,5.00,32000.00
2017.00,24773.00,Petrol,Manual,First,21.4 ,1197,83.1,5.00,7500.00
2012.00,62000.00,Diesel,Manual,First,22.32 ,1582,126.32,5.00,4600.00
2017.00,52340.00,Petrol,Manual,First,19.81 ,1086,68.05,5.00,4040.00
2016.00,56739.00,Diesel,Manual,First,15.4 ,1997,120,7.00,10310.00
2018.00,36091.00,Diesel,Automatic,First,12.7 ,2179,187.7,5.00,55760.00
2010.00,120000.00,Diesel,Manual,First,20.0 ,1399,68,5.00,2600.00
2016.00,33000.00,Diesel,Manual,First,25.47 ,1248,88.50,7.00,8500.00
2007.00,60006.00,Petrol,Manual,First,0.0 ,,,,2950.00
2014.00,52000.00,Diesel,Manual,First,25.8 ,1498,98.6,5.00,3500.00
2015.00,43571.00,Petrol,Manual,First,20.36 ,1197,78.9,5.00,3550.00
2013.00,50000.00,Diesel,Manual,First,25.8 ,1498,98.6,5.00,3250.00
2008.00,113000.00,Diesel,Manual,First,17.5 ,1896,106,5.00,4500.00
2014.00,90000.00,Diesel,Manual,First,19.87 ,1461,83.8,5.00,5350.00
2017.00,29000.00,Diesel,Manual,Second,17.45 ,1493,100,7.00,6500.00
2016.00,20000.00,Diesel,Manual,First,24.3 ,1248,88.5,5.00,9000.00
2016.00,61012.00,Petrol,Manual,First,18.6 ,1197,81.83,5.00,6000.00
2009.00,87459.00,Petrol,Manual,First,14.7 ,1390,85,5.00,2750.00
2010.00,70500.00,Petrol,Manual,First,15.64 ,1193,64.1,5.00,1500.00
2015.00,64103.00,Diesel,Automatic,First,15.73 ,1968,174.33,5.00,19900.00
2014.00,76000.00,Petrol,Automatic,First,14.7 ,1798,177.5,5.00,10000.00
2014.00,104000.00,Diesel,Manual,First,23.59 ,1364,67.06,5.00,3000.00
2010.00,42001.00,Petrol,Manual,First,16.1 ,,,,2110.00
2014.00,37245.00,Petrol,Automatic,First,14.8 ,1595,120.7,5.00,11960.00
2013.00,45000.00,Diesel,Manual,First,27.4 ,1498,98.6,5.00,3250.00
2012.00,117837.00,Diesel,Manual,Second,22.32 ,1582,126.32,5.00,4750.00
2014.00,30000.00,Diesel,Manual,First,20.46 ,1461,83.8,5.00,5950.00
2015.00,27057.00,Petrol,Manual,Second,15.29 ,1591,121.3,5.00,8150.00
2016.00,8500.00,Petrol,Automatic,First,20.51 ,998,67,5.00,4220.00
2010.00,30500.00,Petrol,Automatic,First,11.74 ,1796,186,5.00,10500.00
2012.00,56000.00,Diesel,Automatic,First,11.8 ,2967,246.7,5.00,45000.00
2012.00,44000.00,Petrol,Manual,Second,19.81 ,1086,68.05,5.00,2900.00
2017.00,10500.00,Petrol,Automatic,First,14.3 ,1598,103.52,5.00,8900.00
2017.00,26000.00,Petrol,Automatic,First,14.67 ,1798,177.46,5.00,26000.00
2018.00,25166.00,Petrol,Manual,First,17.19 ,1197,81.86,5.00,8220.00
2014.00,64000.00,Diesel,Manual,Second,25.8 ,1498,98.6,5.00,3500.00
2004.00,61000.00,Petrol,Manual,Second,18.9 ,998,67.1,5.00,1250.00
2013.00,107000.00,Diesel,Manual,First,21.03 ,1461,65,5.00,3700.00
2018.00,29161.00,Diesel,Automatic,First,19.27 ,2143,167.62,5.00,39410.00
2013.00,32000.00,Petrol,Manual,First,22.5 ,998,67.04,5.00,2650.00
2015.00,46173.00,Diesel,Manual,Second,19.01 ,1461,108.5,5.00,8920.00
2013.00,47000.00,Diesel,Manual,First,17.8 ,1248,null,5.00,4100.00
2017.00,26327.00,Petrol,Automatic,First,16.82 ,1998,189.08,4.00,35670.00
2015.00,70436.00,Diesel,Manual,First,0.0 ,1498,99,,3600.00
2007.00,200000.00,Diesel,Manual,Second,17.2 ,1396,53.5,5.00,850.00
2016.00,60813.00,Petrol,Manual,Second,18.6 ,1199,76.8,5.00,3320.00
2012.00,45000.00,Diesel,Manual,First,22.07 ,1199,73.9,5.00,3600.00
2016.00,64000.00,Diesel,Manual,First,22.9 ,1248,74,5.00,6800.00
2012.00,41284.00,Diesel,Manual,First,20.0 ,1399,68.05,5.00,2500.00
2019.00,14165.00,Diesel,Automatic,First,11.36 ,2755,171.5,7.00,19640.00
2011.00,67000.00,Diesel,Automatic,Second,11.72 ,2199,194.3,7.00,7000.00
2011.00,32572.00,Petrol,Manual,First,17.4 ,1497,117.3,5.00,3870.00
2018.00,14960.00,Petrol,Manual,First,18.6 ,1197,81.83,5.00,6270.00
2015.00,55980.00,Diesel,Automatic,First,19.27 ,2143,167.62,5.00,18120.00
2013.00,74000.00,Diesel,Manual,First,25.44 ,936,57.6,5.00,2650.00
2015.00,56847.00,Diesel,Manual,First,22.54 ,1396,88.73,5.00,7200.00
2015.00,121374.00,Diesel,Manual,First,12.99 ,2494,100.6,7.00,14300.00
2013.00,52000.00,Diesel,Manual,First,20.77 ,1248,88.76,7.00,6900.00
2014.00,118000.00,Diesel,Manual,First,12.8 ,2494,102,7.00,10750.00
2007.00,72000.00,Petrol,Manual,Third,17.0 ,1086,null,5.00,950.00
2016.00,33915.00,Petrol,Manual,First,17.8 ,1497,117.3,5.00,8090.00
2014.00,82002.00,Diesel,Automatic,First,17.05 ,1995,184,5.00,18500.00
2017.00,33000.00,Diesel,Manual,First,24.0 ,1120,70,5.00,4750.00
2016.00,34000.00,Diesel,Manual,First,28.09 ,1248,88.5,5.00,8450.00
2012.00,55000.00,Diesel,Manual,First,20.5 ,1598,103.6,5.00,3500.00
2006.00,160538.00,Diesel,Manual,First,13.1 ,1493,82,5.00,1800.00
2014.00,60000.00,Diesel,Manual,Second,19.91 ,1498,103.6,5.00,3700.00
2017.00,49575.00,Petrol,Manual,First,18.7 ,1199,88.7,5.00,7170.00
2010.00,83000.00,Petrol,Manual,First,19.81 ,1086,68.05,5.00,1750.00
2018.00,51346.00,Diesel,Automatic,First,16.38 ,1995,183,5.00,21990.00
2017.00,43000.00,Diesel,Manual,First,13.68 ,2393,147.8,7.00,18650.00
2011.00,35000.00,Petrol,Manual,Third,19.7 ,796,35,5.00,1850.00
2017.00,27872.00,Petrol,Manual,Second,20.4 ,1197,81.80,5.00,5950.00
2014.00,16514.00,Petrol,Manual,First,18.9 ,1197,82,5.00,3750.00
2012.00,120000.00,Diesel,Manual,First,22.9 ,1248,74,5.00,3750.00
2008.00,143275.00,Diesel,Manual,First,22.0 ,1582,126.2,5.00,2600.00
2006.00,99000.00,Petrol,Manual,First,0.0 ,1086,null,5.00,1750.00
2010.00,52000.00,Petrol,Manual,First,17.0 ,1197,80,5.00,2800.00
2017.00,29819.00,Diesel,Automatic,First,11.57 ,2987,254.79,5.00,61290.00
2014.00,57000.00,Diesel,Manual,Second,15.8 ,2148,170,5.00,18000.00
2014.00,88500.00,Diesel,Manual,First,23.2 ,1248,73.94,5.00,4350.00
2016.00,28000.00,Diesel,Manual,First,19.67 ,1582,126.2,5.00,13750.00
2010.00,67000.00,Petrol,Manual,First,19.0 ,998,66.1,5.00,2000.00
2016.00,26000.00,Diesel,Manual,First,19.64 ,1461,108.45,5.00,10000.00
2010.00,120000.00,Diesel,Manual,First,17.8 ,1248,76,5.00,1650.00
2017.00,51982.00,Diesel,Automatic,First,16.55 ,2993,258,5.00,45770.00
2010.00,36000.00,Petrol,Manual,Second,20.36 ,1197,78.9,5.00,3250.00
2016.00,47000.00,Diesel,Manual,First,12.8 ,2494,102,7.00,12800.00
2002.00,60000.00,Petrol,Manual,Third,17.3 ,993,60,5.00,550.00
2018.00,31025.00,Diesel,Manual,First,28.4 ,1248,74,5.00,7150.00
2013.00,105000.00,Diesel,Manual,Second,12.05 ,2179,120,8.00,7000.00
2017.00,121900.00,Diesel,Manual,First,22.95 ,1248,74,5.00,3750.00
2017.00,22695.00,Petrol,Manual,First,18.88 ,999,123.24,5.00,8500.00
2012.00,73000.00,Diesel,Manual,First,23.4 ,1248,74,5.00,4350.00
2016.00,32227.00,Petrol,Manual,First,22.74 ,796,47.3,5.00,3260.00
2011.00,55000.00,Petrol,Manual,First,17.0 ,1497,118,5.00,4210.00
2018.00,11287.00,Diesel,Automatic,First,12.07 ,2967,241.4,7.00,70360.00
2009.00,48000.00,Diesel,Automatic,Second,17.0 ,1896,105,5.00,2950.00
2012.00,54308.00,Petrol,Manual,First,17.1 ,1591,121.3,5.00,4280.00
2009.00,78442.00,Petrol,Automatic,First,16.8 ,1497,118,5.00,3570.00
2013.00,46000.00,Diesel,Manual,First,21.9 ,1396,88.8,5.00,3110.00
2014.00,45051.00,Petrol,Automatic,First,15.0 ,1396,98.6,5.00,5960.00
2011.00,69000.00,Diesel,Manual,First,20.54 ,1598,103.6,5.00,4700.00
2014.00,49000.00,Petrol,Manual,First,17.4 ,1497,117.3,5.00,6900.00
2018.00,45000.00,Diesel,Manual,First,22.95 ,1248,74,5.00,5250.00
2015.00,64000.00,Diesel,Automatic,First,18.48 ,1995,177,5.00,28000.00
2009.00,60000.00,Petrol,Manual,First,18.9 ,1061,67,5.00,1350.00
2015.00,62178.00,Petrol,Manual,First,18.2 ,1199,88.7,5.00,4850.00
2012.00,58006.00,Diesel,Manual,First,15.0 ,1896,105,5.00,6700.00
2010.00,74000.00,Petrol,Manual,First,20.36 ,1197,78.9,5.00,3100.00
2015.00,77771.00,Diesel,Automatic,First,19.27 ,2143,170,5.00,18640.00
2012.00,45275.00,Petrol,Manual,First,20.36 ,1197,78.9,5.00,2800.00
2016.00,48000.00,Diesel,Manual,First,13.68 ,2393,147.8,7.00,20250.00
2015.00,31652.00,Diesel,Automatic,First,17.68 ,1968,174.33,5.00,26780.00
2010.00,109000.00,Diesel,Manual,Second,12.99 ,2494,100.6,7.00,8260.00
2015.00,31978.00,Petrol,Manual,First,16.47 ,1198,73.9,5.00,3890.00
2011.00,70000.00,Petrol,Manual,First,20.92 ,998,67.1,5.00,2100.00
2017.00,15000.00,Petrol,Automatic,First,18.0 ,1497,117.3,5.00,12690.00
2013.00,59138.00,Diesel,Manual,First,17.0 ,1405,70,5.00,2580.00
2014.00,61726.00,Diesel,Automatic,First,17.68 ,1968,174.33,5.00,20770.00
2015.00,48000.00,Diesel,Automatic,First,17.9 ,2143,136,5.00,20260.00
2006.00,58000.00,Petrol,Manual,Second,0.0 ,1086,null,5.00,1500.00
2011.00,60020.00,Diesel,Manual,First,17.8 ,1248,null,5.00,2500.00
2014.00,77815.00,Petrol,Automatic,First,23.1 ,998,67.04,5.00,4250.00
2017.00,29000.00,Diesel,Automatic,First,17.9 ,2143,201.15,5.00,57000.00
2017.00,44000.00,Diesel,Automatic,First,12.7 ,2179,187.7,5.00,44000.00
2011.00,108626.00,Diesel,Manual,First,20.54 ,1598,103.6,5.00,3650.00
2012.00,71791.00,Petrol,Manual,First,14.0 ,796,35,5.00,2050.00
2012.00,91931.00,Petrol,Manual,First,18.5 ,1198,86.8,5.00,3130.00
2000.00,158000.00,Diesel,Manual,Second,14.07 ,2956,83.1,7.00,1500.00
2012.00,91183.00,Diesel,Manual,First,18.0 ,1248,75,5.00,2850.00
2012.00,65000.00,Petrol,Manual,First,18.9 ,998,67.1,5.00,2650.00
2015.00,88428.00,Diesel,Manual,First,16.0 ,2179,140,7.00,10600.00
2008.00,138000.00,Diesel,Manual,Second,17.1 ,1396,70,5.00,1250.00
2018.00,18000.00,Petrol,Manual,First,16.02 ,1373,93.7,7.00,8250.00
2011.00,60000.00,Petrol,Automatic,First,11.7 ,2354,177.6,5.00,4450.00
2012.00,48000.00,Diesel,Manual,First,19.3 ,1248,73.9,5.00,3700.00
2009.00,160000.00,Diesel,Manual,First,17.8 ,1399,68,5.00,2800.00
2008.00,40000.00,Petrol,Manual,First,17.7 ,1497,78,5.00,1800.00
2014.00,51495.00,Diesel,Automatic,First,17.68 ,1968,174.33,5.00,21950.00
