Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Transmission_Manual,Fuel_Type_Petrol,First_Owner
2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9000,1,0,1
2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6000,1,1,1
2009,87459,Petrol,Manual,First,14.7,1390,85,5,2750,1,1,1
2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,1500,1,1,1
2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19900,0,0,1
2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10000,0,1,1
2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,3000,1,0,1
2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11960,0,1,1
2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,3250,1,0,1
2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4750,1,0,0
2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,5950,1,0,1
2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8150,1,1,0
2016,8500,Petrol,Automatic,First,20.51,998,67,5,4220,0,1,1
2010,30500,Petrol,Automatic,First,11.74,1796,186,5,10500,0,1,1
2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45000,0,0,1
2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2900,1,1,0
2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8900,0,1,1
2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26000,0,1,1
2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,8220,1,1,1
2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3500,1,0,0
2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,1250,1,1,0
2013,107000,Diesel,Manual,First,21.03,1461,65,5,3700,1,0,1
2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39410,0,0,1
2013,32000,Petrol,Manual,First,22.5,998,67.04,5,2650,1,1,1
2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8920,1,0,0
2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35670,0,1,1
2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,850,1,0,0
2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3320,1,1,0
2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,3600,1,0,1
2016,64000,Diesel,Manual,First,22.9,1248,74,5,6800,1,0,1
2012,41284,Diesel,Manual,First,20,1399,68.05,5,2500,1,0,1
2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19640,0,0,1
2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7000,0,0,0
2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,3870,1,1,1
2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,6270,1,1,1
2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,18120,0,0,1
2013,74000,Diesel,Manual,First,25.44,936,57.6,5,2650,1,0,1
2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,7200,1,0,1
2015,121374,Diesel,Manual,First,12.99,2494,100.6,7,14300,1,0,1
2013,52000,Diesel,Manual,First,20.77,1248,88.76,7,6900,1,0,1
2014,118000,Diesel,Manual,First,12.8,2494,102,7,10750,1,0,1
2016,33915,Petrol,Manual,First,17.8,1497,117.3,5,8090,1,1,1
2014,82002,Diesel,Automatic,First,17.05,1995,184,5,18500,0,0,1
2017,33000,Diesel,Manual,First,24,1120,70,5,4750,1,0,1
2016,34000,Diesel,Manual,First,28.09,1248,88.5,5,8450,1,0,1
2012,55000,Diesel,Manual,First,20.5,1598,103.6,5,3500,1,0,1
2006,160538,Diesel,Manual,First,13.1,1493,82,5,1800,1,0,1
2014,60000,Diesel,Manual,Second,19.91,1498,103.6,5,3700,1,0,0
2017,49575,Petrol,Manual,First,18.7,1199,88.7,5,7170,1,1,1
2010,83000,Petrol,Manual,First,19.81,1086,68.05,5,1750,1,1,1
2018,51346,Diesel,Automatic,First,16.38,1995,183,5,21990,0,0,1
2017,43000,Diesel,Manual,First,13.68,2393,147.8,7,18650,1,0,1
2011,35000,Petrol,Manual,Third,19.7,796,35,5,1850,1,1,0
2017,27872,Petrol,Manual,Second,20.4,1197,81.8,5,5950,1,1,0
2014,16514,Petrol,Manual,First,18.9,1197,82,5,3750,1,1,1
2012,120000,Diesel,Manual,First,22.9,1248,74,5,3750,1,0,1
2008,143275,Diesel,Manual,First,22,1582,126.2,5,2600,1,0,1
2010,52000,Petrol,Manual,First,17,1197,80,5,2800,1,1,1
2017,29819,Diesel,Automatic,First,11.57,2987,254.79,5,61290,0,0,1
2014,57000,Diesel,Manual,Second,15.8,2148,170,5,18000,1,0,0
2014,88500,Diesel,Manual,First,23.2,1248,73.94,5,4350,1,0,1
2016,28000,Diesel,Manual,First,19.67,1582,126.2,5,13750,1,0,1
2010,67000,Petrol,Manual,First,19,998,66.1,5,2000,1,1,1
2016,26000,Diesel,Manual,First,19.64,1461,108.45,5,10000,1,0,1
2010,120000,Diesel,Manual,First,17.8,1248,76,5,1650,1,0,1
2017,51982,Diesel,Automatic,First,16.55,2993,258,5,45770,0,0,1
2010,36000,Petrol,Manual,Second,20.36,1197,78.9,5,3250,1,1,0
2016,47000,Diesel,Manual,First,12.8,2494,102,7,12800,1,0,1
2002,60000,Petrol,Manual,Third,17.3,993,60,5,550,1,1,0
2018,31025,Diesel,Manual,First,28.4,1248,74,5,7150,1,0,1
2013,105000,Diesel,Manual,Second,12.05,2179,120,8,7000,1,0,0
2017,121900,Diesel,Manual,First,22.95,1248,74,5,3750,1,0,1
2017,22695,Petrol,Manual,First,18.88,999,123.24,5,8500,1,1,1
2012,73000,Diesel,Manual,First,23.4,1248,74,5,4350,1,0,1
2016,32227,Petrol,Manual,First,22.74,796,47.3,5,3260,1,1,1
2011,55000,Petrol,Manual,First,17,1497,118,5,4210,1,1,1
2018,11287,Diesel,Automatic,First,12.07,2967,241.4,7,70360,0,0,1
2009,48000,Diesel,Automatic,Second,17,1896,105,5,2950,0,0,0
2012,54308,Petrol,Manual,First,17.1,1591,121.3,5,4280,1,1,1
2009,78442,Petrol,Automatic,First,16.8,1497,118,5,3570,0,1,1
2013,46000,Diesel,Manual,First,21.9,1396,88.8,5,3110,1,0,1
2014,45051,Petrol,Automatic,First,15,1396,98.6,5,5960,0,1,1
2011,69000,Diesel,Manual,First,20.54,1598,103.6,5,4700,1,0,1
2014,49000,Petrol,Manual,First,17.4,1497,117.3,5,6900,1,1,1
2018,45000,Diesel,Manual,First,22.95,1248,74,5,5250,1,0,1
2015,64000,Diesel,Automatic,First,18.48,1995,177,5,28000,0,0,1
2009,60000,Petrol,Manual,First,18.9,1061,67,5,1350,1,1,1
2015,62178,Petrol,Manual,First,18.2,1199,88.7,5,4850,1,1,1
2012,58006,Diesel,Manual,First,15,1896,105,5,6700,1,0,1
2010,74000,Petrol,Manual,First,20.36,1197,78.9,5,3100,1,1,1
2015,77771,Diesel,Automatic,First,19.27,2143,170,5,18640,0,0,1
2012,45275,Petrol,Manual,First,20.36,1197,78.9,5,2800,1,1,1
2016,48000,Diesel,Manual,First,13.68,2393,147.8,7,20250,1,0,1
2015,31652,Diesel,Automatic,First,17.68,1968,174.33,5,26780,0,0,1
2010,109000,Diesel,Manual,Second,12.99,2494,100.6,7,8260,1,0,0
2015,31978,Petrol,Manual,First,16.47,1198,73.9,5,3890,1,1,1
2011,70000,Petrol,Manual,First,20.92,998,67.1,5,2100,1,1,1
2017,15000,Petrol,Automatic,First,18,1497,117.3,5,12690,0,1,1
2013,59138,Diesel,Manual,First,17,1405,70,5,2580,1,0,1
2014,61726,Diesel,Automatic,First,17.68,1968,174.33,5,20770,0,0,1
2015,48000,Diesel,Automatic,First,17.9,2143,136,5,20260,0,0,1
2014,77815,Petrol,Automatic,First,23.1,998,67.04,5,4250,0,1,1
2017,29000,Diesel,Automatic,First,17.9,2143,201.15,5,57000,0,0,1
2017,44000,Diesel,Automatic,First,12.7,2179,187.7,5,44000,0,0,1
2011,108626,Diesel,Manual,First,20.54,1598,103.6,5,3650,1,0,1
2012,71791,Petrol,Manual,First,14,796,35,5,2050,1,1,1
2012,91931,Petrol,Manual,First,18.5,1198,86.8,5,3130,1,1,1
2000,158000,Diesel,Manual,Second,14.07,2956,83.1,7,1500,1,0,0
2012,91183,Diesel,Manual,First,18,1248,75,5,2850,1,0,1
2012,65000,Petrol,Manual,First,18.9,998,67.1,5,2650,1,1,1
2015,88428,Diesel,Manual,First,16,2179,140,7,10600,1,0,1
2008,138000,Diesel,Manual,Second,17.1,1396,70,5,1250,1,0,0
2018,18000,Petrol,Manual,First,16.02,1373,93.7,7,8250,1,1,1
2011,60000,Petrol,Automatic,First,11.7,2354,177.6,5,4450,0,1,1
2012,48000,Diesel,Manual,First,19.3,1248,73.9,5,3700,1,0,1
2009,160000,Diesel,Manual,First,17.8,1399,68,5,2800,1,0,1
2008,40000,Petrol,Manual,First,17.7,1497,78,5,1800,1,1,1
2014,51495,Diesel,Automatic,First,17.68,1968,174.33,5,21950,0,0,1
2011,30000,Diesel,Automatic,First,9.52,2993,313,4,49000,0,0,1
2017,97430,Diesel,Automatic,First,14.75,2967,245,7,62670,0,0,1
2008,42496,CNG,Manual,First,26.3,998,67.1,5,1400,1,0,1
2012,83000,Diesel,Manual,First,23,1396,90,5,5500,1,0,1
2009,37000,Petrol,Automatic,Third,16.95,1197,78.9,5,2950,0,1,0
2016,28503,Petrol,Automatic,First,19,1199,88.7,5,6860,0,1,1
2015,76496,Diesel,Manual,First,25.2,1248,74,5,6150,1,0,1
2011,79152,Petrol,Manual,Second,18.5,1197,82.85,5,3300,1,1,0
2011,32000,Petrol,Manual,First,16.47,1198,73.9,5,2550,1,1,1
2009,35000,Petrol,Manual,First,19.7,796,46.3,5,1500,1,1,1
2004,105000,Petrol,Automatic,Second,11.3,1794,125,5,2500,0,1,0
2006,56000,Petrol,Manual,Second,19.7,796,46.3,5,1400,1,1,0
2012,73000,Diesel,Manual,First,21.12,1248,88.8,5,3400,1,0,1
2012,38000,Petrol,Manual,First,19.7,796,46.3,5,2250,1,1,1
2013,775000,Diesel,Automatic,First,19.3,1968,141,5,7500,0,0,1
2008,80000,Petrol,Automatic,First,11.3,1794,125,5,2800,0,1,1
2016,24973,Petrol,Manual,First,18.6,1197,81.83,5,7660,1,1,1
2016,45000,Diesel,Manual,First,24.3,1248,88.5,5,7150,1,0,1
2010,87430,Petrol,Manual,First,17,1497,118,5,3500,1,1,1
2014,133944,Diesel,Manual,Second,18,1248,75,5,3500,1,0,0
2013,57000,Diesel,Manual,First,25.8,1498,98.6,5,3450,1,0,1
2016,27904,Petrol,Manual,First,21.1,814,55.2,5,3550,1,1,1
2015,30717,Diesel,Automatic,Second,21.76,1995,190,5,25990,0,0,0
2012,80000,Diesel,Manual,First,22.32,1582,126.32,5,5250,1,0,1
2013,47304,Diesel,Manual,First,21.02,1248,88.8,5,2900,1,0,1
2005,100000,Petrol,Automatic,First,14.45,1984,227,5,2050,0,1,1
2017,30000,Petrol,Manual,First,24.07,998,67.1,5,3750,1,1,1
2014,68000,Diesel,Manual,First,22.7,1498,89.84,5,6750,1,0,1
2011,21000,Petrol,Manual,Second,18,995,62,5,950,1,1,0
2017,21000,Diesel,Automatic,First,19.33,1999,177,5,52000,0,0,1
2007,119000,Petrol,Manual,Third,13.1,1997,141.1,5,3910,1,1,0
2019,13747,Petrol,Automatic,First,14.67,1798,177.46,5,27300,0,1,1
2009,620000,Petrol,Manual,First,20.36,1197,78.9,5,2700,1,1,1
2013,70000,Diesel,Manual,First,22.9,1248,74,5,3500,1,0,1
2016,18000,Petrol,Automatic,First,18.5,1197,83.14,5,6200,0,1,1
2011,83000,Diesel,Manual,First,23.08,1461,63.1,5,2750,1,0,1
2015,130000,Diesel,Manual,First,23.4,1248,74,5,3250,1,0,1
2012,63400,Diesel,Manual,First,17.8,1399,67,5,3250,1,0,1
2003,65000,Petrol,Manual,First,17.3,993,60,5,650,1,1,1
2017,8350,Petrol,Manual,First,13.8,1998,192,5,35000,1,1,1
2014,45000,Diesel,Manual,First,23.59,1364,67.05,5,3250,1,0,1
2018,26200,Petrol,Manual,First,24.7,796,47.3,5,2900,1,1,1
2011,11000,Petrol,Manual,Third,18.9,796,47,5,2900,1,1,0
2009,90000,Diesel,Automatic,Second,11,2993,235,5,17750,0,0,0
2015,74000,Petrol,Automatic,Second,11.07,2496,179.5,5,8250,0,1,0
2015,37081,Petrol,Automatic,First,18.9,1197,82,5,5770,0,1,1
2017,39000,Diesel,Manual,First,24.3,1248,88.5,5,9490,1,0,1
2008,99000,Diesel,Automatic,Third,12.07,2967,241.4,7,12950,0,0,0
